0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /cart? HTTP/1.1" 200 36510
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:31 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /cart? HTTP/1.1" 200 36510
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:32 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:39 +0530] "GET / HTTP/1.1" 200 185642
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:39 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:39 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:39 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:39 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
